id,vessel_id,lat,lon,speed,course,status,destination,eta,last_report_at,recorded_at,geom
10064,3,-1.3157,116.81659,4,319.7°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 22:25:00+07,2026-05-16 22:29:48.873028+07,0101000020E6100000670FB40243345D40228E75711B0DF5BF
10071,3,-1.30711,116.80931,5.7,316.7°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 22:42:00+07,2026-05-16 22:44:22.973017+07,0101000020E6100000D9942BBCCB335D409964E42CECE9F4BF
10077,3,-1.27549,116.79979,3.5,6.7°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 23:00:00+07,2026-05-16 23:05:27.725324+07,0101000020E6100000BE6A65C22F335D402A00C6336868F4BF
10082,3,-1.27106,116.80601,0.4,115°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 23:18:00+07,2026-05-16 23:21:20.977545+07,0101000020E6100000EF8FF7AA95335D40670FB4024356F4BF
10089,3,-1.2711,116.80611,0,110.6°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 23:36:00+07,2026-05-16 23:41:02.942201+07,0101000020E6100000A1BE654E97335D402D211FF46C56F4BF
10095,3,-1.27111,116.8061,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-16 23:54:00+07,2026-05-16 23:57:20.038904+07,0101000020E61000008F53742497335D409FE579707756F4BF
10101,3,-1.27111,116.80612,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 00:11:00+07,2026-05-17 00:17:06.976724+07,0101000020E6100000B329577897335D409FE579707756F4BF
10109,3,-1.27111,116.80611,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 00:31:00+07,2026-05-17 00:34:30.597395+07,0101000020E6100000A1BE654E97335D409FE579707756F4BF
10115,3,-1.27111,116.80612,0,110.6°,Sailing,N/A,ETA: -,2026-05-17 00:49:00+07,2026-05-17 00:55:40.511904+07,0101000020E6100000B329577897335D409FE579707756F4BF
10123,3,-1.27112,116.80612,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 01:07:00+07,2026-05-17 01:10:05.287647+07,0101000020E6100000B329577897335D4011AAD4EC8156F4BF
